,,,t,v
Record Length,2500,,-0.05,1.6
Sample Interval,0.00004,,-0.04996,1.6
Trigger Point,1250,,-0.04992,1.6
,,,-0.04988,1.6
,,,-0.04984,1.6
,,,-0.0498,1.6
Source,CH1,,-0.04976,1.6
Vertical Units,V,,-0.04972,1.8
Vertical Scale,5,,-0.04968,1.6
Vertical Offset,10,,-0.04964,1.8
Horizontal Units,s,,-0.0496,1.8
Horizontal Scale,0.01,,-0.04956,1.8
Pt Fmt,Y,,-0.04952,1.6
Yzero,0,,-0.04948,1.8
Probe Atten,1,,-0.04944,1.6
Model Number,TBS1102,,-0.0494,1.8
Serial Number,C012400,,-0.04936,1.6
Firmware Version,FV:v26.01,,-0.04932,1.8
,,,-0.04928,1.8
,,,-0.04924,1.8
,,,-0.0492,1.8
,,,-0.04916,1.8
,,,-0.04912,1.8
,,,-0.04908,1.8
,,,-0.04904,1.8
,,,-0.049,1.8
,,,-0.04896,1.8
,,,-0.04892,1.8
,,,-0.04888,1.8
,,,-0.04884,1.8
,,,-0.0488,1.8
,,,-0.04876,1.8
,,,-0.04872,2
,,,-0.04868,2
,,,-0.04864,2
,,,-0.0486,1.8
,,,-0.04856,1.8
,,,-0.04852,1.8
,,,-0.04848,1.8
,,,-0.04844,1.8
,,,-0.0484,2
,,,-0.04836,1.8
,,,-0.04832,2
,,,-0.04828,2
,,,-0.04824,1.8
,,,-0.0482,2
,,,-0.04816,2
,,,-0.04812,2
,,,-0.04808,2
,,,-0.04804,2
,,,-0.048,2
,,,-0.04796,2
,,,-0.04792,2
,,,-0.04788,2
,,,-0.04784,2
,,,-0.0478,2
,,,-0.04776,2
,,,-0.04772,2
,,,-0.04768,2
,,,-0.04764,2
,,,-0.0476,2
,,,-0.04756,2
,,,-0.04752,2
,,,-0.04748,2
,,,-0.04744,2
,,,-0.0474,2
,,,-0.04736,2.2
,,,-0.04732,2.2
,,,-0.04728,2.2
,,,-0.04724,2
,,,-0.0472,2
,,,-0.04716,2
,,,-0.04712,2.2
,,,-0.04708,2.2
,,,-0.04704,2.2
,,,-0.047,2.2
,,,-0.04696,2.2
,,,-0.04692,2.2
,,,-0.04688,2.2
,,,-0.04684,2.2
,,,-0.0468,2.2
,,,-0.04676,2.2
,,,-0.04672,2.2
,,,-0.04668,2.2
,,,-0.04664,2.2
,,,-0.0466,2.2
,,,-0.04656,2.2
,,,-0.04652,2.2
,,,-0.04648,2.2
,,,-0.04644,2.2
,,,-0.0464,2.2
,,,-0.04636,2.2
,,,-0.04632,2.2
,,,-0.04628,2.4
,,,-0.04624,2.4
,,,-0.0462,2.2
,,,-0.04616,2.4
,,,-0.04612,2.4
,,,-0.04608,2.4
,,,-0.04604,2.4
,,,-0.046,2.2
,,,-0.04596,2.4
,,,-0.04592,2.2
,,,-0.04588,2.4
,,,-0.04584,2.4
,,,-0.0458,2.2
,,,-0.04576,2.2
,,,-0.04572,2.4
,,,-0.04568,2.4
,,,-0.04564,2.4
,,,-0.0456,2.4
,,,-0.04556,2.4
,,,-0.04552,2.4
,,,-0.04548,2.4
,,,-0.04544,2.4
,,,-0.0454,2.4
,,,-0.04536,2.4
,,,-0.04532,2.4
,,,-0.04528,2.4
,,,-0.04524,2.4
,,,-0.0452,2.4
,,,-0.04516,2.6
,,,-0.04512,2.6
,,,-0.04508,2.4
,,,-0.04504,2.4
,,,-0.045,2.4
,,,-0.04496,2.4
,,,-0.04492,2.4
,,,-0.04488,2.4
,,,-0.04484,2.4
,,,-0.0448,2.4
,,,-0.04476,2.6
,,,-0.04472,2.6
,,,-0.04468,2.6
,,,-0.04464,2.6
,,,-0.0446,2.6
,,,-0.04456,2.6
,,,-0.04452,2.6
,,,-0.04448,2.6
,,,-0.04444,2.6
,,,-0.0444,2.6
,,,-0.04436,2.6
,,,-0.04432,2.6
,,,-0.04428,2.6
,,,-0.04424,2.6
,,,-0.0442,2.6
,,,-0.04416,2.6
,,,-0.04412,2.6
,,,-0.04408,2.6
,,,-0.04404,2.6
,,,-0.044,2.6
,,,-0.04396,2.6
,,,-0.04392,2.6
,,,-0.04388,2.8
,,,-0.04384,2.6
,,,-0.0438,2.6
,,,-0.04376,2.8
,,,-0.04372,2.8
,,,-0.04368,2.6
,,,-0.04364,2.8
,,,-0.0436,2.8
,,,-0.04356,2.8
,,,-0.04352,2.6
,,,-0.04348,2.8
,,,-0.04344,2.8
,,,-0.0434,2.8
,,,-0.04336,2.8
,,,-0.04332,2.8
,,,-0.04328,2.8
,,,-0.04324,2.8
,,,-0.0432,2.8
,,,-0.04316,2.8
,,,-0.04312,2.8
,,,-0.04308,2.8
,,,-0.04304,2.8
,,,-0.043,2.8
,,,-0.04296,2.8
,,,-0.04292,2.8
,,,-0.04288,2.8
,,,-0.04284,2.8
,,,-0.0428,2.8
,,,-0.04276,2.8
,,,-0.04272,2.8
,,,-0.04268,2.8
,,,-0.04264,2.8
,,,-0.0426,2.8
,,,-0.04256,2.8
,,,-0.04252,2.8
,,,-0.04248,2.8
,,,-0.04244,2.8
,,,-0.0424,2.8
,,,-0.04236,2.8
,,,-0.04232,2.8
,,,-0.04228,2.8
,,,-0.04224,2.8
,,,-0.0422,2.8
,,,-0.04216,3
,,,-0.04212,2.8
,,,-0.04208,3
,,,-0.04204,3
,,,-0.042,3
,,,-0.04196,3
,,,-0.04192,3
,,,-0.04188,3
,,,-0.04184,2.8
,,,-0.0418,3
,,,-0.04176,3
,,,-0.04172,3
,,,-0.04168,3
,,,-0.04164,3
,,,-0.0416,3
,,,-0.04156,3
,,,-0.04152,3
,,,-0.04148,3
,,,-0.04144,3
,,,-0.0414,3
,,,-0.04136,3
,,,-0.04132,3
,,,-0.04128,3
,,,-0.04124,3
,,,-0.0412,3
,,,-0.04116,3
,,,-0.04112,3
,,,-0.04108,3
,,,-0.04104,3
,,,-0.041,3
,,,-0.04096,3.2
,,,-0.04092,3.2
,,,-0.04088,3.2
,,,-0.04084,3.2
,,,-0.0408,3
,,,-0.04076,3.2
,,,-0.04072,3.2
,,,-0.04068,3.2
,,,-0.04064,3.2
,,,-0.0406,3.2
,,,-0.04056,3.2
,,,-0.04052,3.2
,,,-0.04048,3.2
,,,-0.04044,3.2
,,,-0.0404,3.2
,,,-0.04036,3.2
,,,-0.04032,3.2
,,,-0.04028,3.2
,,,-0.04024,3.2
,,,-0.0402,3.2
,,,-0.04016,3.2
,,,-0.04012,3.2
,,,-0.04008,3.2
,,,-0.04004,3.2
,,,-0.04,3.2
,,,-0.03996,3.2
,,,-0.03992,3.2
,,,-0.03988,3.4
,,,-0.03984,3.2
,,,-0.0398,3.2
,,,-0.03976,3.2
,,,-0.03972,3.4
,,,-0.03968,3.4
,,,-0.03964,3.4
,,,-0.0396,3.4
,,,-0.03956,3.4
,,,-0.03952,3.2
,,,-0.03948,3.4
,,,-0.03944,3.2
,,,-0.0394,3.4
,,,-0.03936,3.4
,,,-0.03932,3.4
,,,-0.03928,3.4
,,,-0.03924,3.4
,,,-0.0392,3.4
,,,-0.03916,3.4
,,,-0.03912,3.4
,,,-0.03908,3.4
,,,-0.03904,3.4
,,,-0.039,3.4
,,,-0.03896,3.6
,,,-0.03892,3.4
,,,-0.03888,3.4
,,,-0.03884,3.4
,,,-0.0388,3.4
,,,-0.03876,3.4
,,,-0.03872,3.4
,,,-0.03868,3.4
,,,-0.03864,3.6
,,,-0.0386,3.4
,,,-0.03856,3.4
,,,-0.03852,3.6
,,,-0.03848,3.6
,,,-0.03844,3.6
,,,-0.0384,3.6
,,,-0.03836,3.6
,,,-0.03832,3.6
,,,-0.03828,3.4
,,,-0.03824,3.6
,,,-0.0382,3.6
,,,-0.03816,3.6
,,,-0.03812,3.6
,,,-0.03808,3.6
,,,-0.03804,3.6
,,,-0.038,3.6
,,,-0.03796,3.6
,,,-0.03792,3.6
,,,-0.03788,3.6
,,,-0.03784,3.6
,,,-0.0378,3.6
,,,-0.03776,3.6
,,,-0.03772,3.6
,,,-0.03768,3.6
,,,-0.03764,3.6
,,,-0.0376,3.6
,,,-0.03756,3.8
,,,-0.03752,3.8
,,,-0.03748,3.6
,,,-0.03744,3.6
,,,-0.0374,3.8
,,,-0.03736,3.6
,,,-0.03732,3.6
,,,-0.03728,3.8
,,,-0.03724,3.6
,,,-0.0372,3.8
,,,-0.03716,3.8
,,,-0.03712,3.8
,,,-0.03708,3.8
,,,-0.03704,3.8
,,,-0.037,3.8
,,,-0.03696,3.8
,,,-0.03692,3.8
,,,-0.03688,3.8
,,,-0.03684,3.8
,,,-0.0368,3.8
,,,-0.03676,3.8
,,,-0.03672,3.8
,,,-0.03668,3.8
,,,-0.03664,4
,,,-0.0366,3.8
,,,-0.03656,4
,,,-0.03652,3.8
,,,-0.03648,3.8
,,,-0.03644,3.8
,,,-0.0364,3.8
,,,-0.03636,4
,,,-0.03632,4
,,,-0.03628,4
,,,-0.03624,3.8
,,,-0.0362,3.8
,,,-0.03616,4
,,,-0.03612,3.8
,,,-0.03608,4
,,,-0.03604,4
,,,-0.036,4
,,,-0.03596,3.8
,,,-0.03592,4
,,,-0.03588,4
,,,-0.03584,4
,,,-0.0358,4
,,,-0.03576,4
,,,-0.03572,4
