Voltage U1	Corriente IA
U1/V	IA/nA

9,69	2,31
9,71	2,32
9,74	2,35
9,76	2,37
9,79	2,40
9,81	2,33
9,84	2,34
9,86	2,31
9,89	2,47
9,91	2,46
9,93	2,56
9,96	2,46
9,98	2,55
10,01	2,51
10,03	2,70
10,06	2,59
10,08	2,71
10,10	2,55
10,13	2,68
10,15	2,59
10,18	2,76
10,20	2,62
10,23	2,80
10,25	2,62
10,28	2,80
10,30	2,66
10,32	2,86
10,35	2,73
10,37	2,90
10,40	2,68
10,42	2,90
10,45	2,70
10,47	2,89
10,50	2,70
10,52	2,84
10,54	2,65
10,57	2,88
10,59	2,68
10,62	2,89
10,64	2,73
10,67	2,90
10,69	2,77
10,72	2,99
10,74	2,81
10,76	2,96
10,79	2,80
10,81	2,96
10,84	2,84
10,86	2,98
10,89	2,86
10,91	2,98
10,94	2,86
10,96	3,01
10,98	2,95
11,01	3,09
11,03	3,04
11,06	3,10
11,08	3,05
11,11	3,17
11,13	3,14
11,15	3,23
11,18	3,16
11,20	3,19
11,23	3,16
11,25	3,20
11,28	3,23
11,30	3,29
11,33	3,33
11,35	3,34
11,37	3,35
11,40	3,36
11,42	3,49
11,45	3,49
11,47	3,57
11,50	3,50
11,52	3,56
11,55	3,52
11,57	3,69
11,59	3,62
11,62	3,76
11,64	3,61
11,67	3,71
11,69	3,65
11,72	3,87
11,74	3,74
11,77	3,89
11,79	3,71
11,81	3,94
11,84	3,82
11,86	4,04
11,89	3,89
11,91	4,07
11,94	3,88
11,96	4,09
11,99	3,91
12,01	4,14
12,03	3,96
12,06	4,13
12,08	3,96
12,11	4,20
12,13	4,02
12,16	4,24
12,18	4,06
12,21	4,25
12,23	4,08
12,25	4,32
12,28	4,14
12,30	4,34
12,33	4,18
12,35	4,34
12,38	4,20
12,40	4,42
12,42	4,28
12,45	4,45
12,47	4,32
12,50	4,49
12,52	4,43
12,55	4,65
12,57	4,55
12,60	4,65
12,62	4,52
12,64	4,63
12,67	4,60
12,69	4,72
12,72	4,66
12,74	4,73
12,77	4,68
12,79	4,81
12,82	4,87
12,84	4,95
12,86	4,94
12,89	4,97
12,91	4,95
12,94	5,01
12,96	5,08
12,99	5,12
13,01	5,18
13,04	5,16
13,06	5,17
13,08	5,19
13,11	5,29
13,13	5,28
13,16	5,41
13,18	5,30
13,21	5,39
13,23	5,35
13,26	5,52
13,28	5,50
13,30	5,62
13,33	5,44
13,35	5,60
13,38	5,47
13,40	5,68
13,43	5,56
13,45	5,70
13,47	5,52
13,50	5,72
13,52	5,57
13,55	5,82
13,57	5,67
13,60	5,83
13,62	5,64
13,65	5,87
13,67	5,70
13,69	5,91
13,72	5,72
13,74	5,88
13,77	5,68
13,79	5,90
13,82	5,71
13,84	5,88
13,87	5,71
13,89	5,89
13,91	5,74
13,94	5,99
13,96	5,80
13,99	5,96
14,01	5,85
14,04	6,00
14,06	5,88
14,09	6,08
14,11	5,92
14,13	6,05
14,16	5,93
14,18	6,04
14,21	5,98
14,23	6,11
14,26	6,03
14,28	6,13
14,31	6,03
14,33	6,15
14,35	6,15
14,38	6,25
14,40	6,23
14,43	6,27
14,45	6,24
14,48	6,30
14,50	6,33
14,52	6,37
14,55	6,41
14,57	6,37
14,60	6,37
14,62	6,38
14,65	6,49
14,67	6,49
14,70	6,57
14,72	6,45
14,74	6,55
14,77	6,50
14,79	6,63
14,82	6,58
14,84	6,67
14,87	6,53
14,89	6,66
14,92	6,59
14,94	6,78
14,96	6,67
14,99	6,81
15,01	6,66
15,04	6,84
15,06	6,72
15,09	6,91
15,11	6,78
15,14	6,98
15,16	6,78
15,18	6,99
15,21	6,83
15,23	7,05
15,26	6,88
15,28	7,05
15,31	6,82
15,33	7,07
15,36	6,89
15,38	7,08
15,40	6,92
15,43	7,08
15,45	6,90
15,48	7,20
15,50	7,01
15,53	7,19
15,55	7,04
15,57	7,19
15,60	7,08
15,62	7,29
15,65	7,09
15,67	7,25
15,70	7,10
15,72	7,26
15,75	7,20
15,77	7,37
15,79	7,30
15,82	7,43
15,84	7,33
15,87	7,49
15,89	7,47
15,92	7,60
15,94	7,56
15,97	7,62
15,99	7,57
16,01	7,71
16,04	7,70
16,06	7,80
16,09	7,80
16,11	7,83
16,14	7,83
16,16	7,90
16,19	7,97
16,21	8,07
16,23	8,14
16,26	8,11
16,28	8,17
16,31	8,21
16,33	8,35
16,36	8,35
16,38	8,47
16,41	8,39
16,43	8,49
16,45	8,47
16,48	8,65
16,50	8,60
16,53	8,77
16,55	8,65
16,58	8,83
16,60	8,80
16,63	9,05
16,65	8,98
16,67	9,20
16,70	9,07
16,72	9,30
16,75	9,22
16,77	9,47
16,80	9,34
16,82	9,57
16,84	9,40
16,87	9,68
16,89	9,55
16,92	9,80
16,94	9,70
16,97	9,92
16,99	9,77
17,02	10,08
17,04	9,93
17,06	10,16
17,09	10,05
17,11	10,26
17,14	10,17
17,16	10,43
17,19	10,29
17,21	10,53
17,24	10,43
17,26	10,64
17,28	10,60
17,31	10,85
17,33	10,80
17,36	10,98
17,38	10,89
17,41	11,07
17,43	11,05
17,46	11,25
17,48	11,21
17,50	11,30
17,53	11,26
17,55	11,44
17,58	11,49
17,60	11,64
17,63	11,64
17,65	11,72
17,68	11,76
17,70	11,89
17,72	11,95
17,75	12,03
17,77	12,07
17,80	12,08
17,82	12,11
17,85	12,15
17,87	12,28
17,89	12,28
17,92	12,39
17,94	12,37
17,97	12,45
17,99	12,45
18,02	12,63
18,04	12,58
18,07	12,74
18,09	12,62
18,11	12,73
18,14	12,68
18,16	12,85
18,19	12,73
18,21	12,91
18,24	12,74
18,26	12,93
18,29	12,82
18,31	13,02
18,33	12,90
18,36	13,09
18,38	12,88
18,41	13,10
18,43	12,93
18,46	13,13
18,48	12,96
18,51	13,11
18,53	12,89
18,55	13,11
18,58	12,90
18,60	13,08
18,63	12,87
18,65	13,03
18,68	12,88
18,70	13,12
18,73	12,91
18,75	13,09
18,77	12,93
18,80	13,08
18,82	12,94
18,85	13,10
18,87	12,94
18,90	13,08
18,92	12,92
18,94	13,06
18,97	12,99
18,99	13,14
19,02	13,03
19,04	13,09
19,07	12,99
19,09	13,11
19,12	13,04
19,14	13,14
19,16	13,06
19,19	13,07
19,21	13,02
19,24	13,07
19,26	13,07
19,29	13,13
19,31	13,11
19,34	13,12
19,36	13,08
19,38	13,10
19,41	13,17
19,43	13,16
19,46	13,20
19,48	13,14
19,51	13,14
19,53	13,13
19,56	13,26
19,58	13,20
19,60	13,31
19,63	13,17
19,65	13,23
19,68	13,20
19,70	13,36
19,73	13,25
19,75	13,39
19,78	13,22
19,80	13,40
19,82	13,32
19,85	13,48
19,87	13,34
19,90	13,49
19,92	13,29
19,95	13,48
19,97	13,30
19,99	13,51
20,02	13,36
20,04	13,53
20,07	13,33
20,09	13,54
20,12	13,36
20,14	13,57
20,17	13,39
20,19	13,55
20,21	13,37
20,24	13,62
20,26	13,46
20,29	13,66
20,31	13,51
20,34	13,68
20,36	13,54
20,39	13,78
20,41	13,66
20,43	13,83
20,46	13,70
20,48	13,88
20,51	13,81
20,53	14,03
20,56	13,94
20,58	14,05
20,61	13,97
20,63	14,11
20,65	14,09
20,68	14,28
20,70	14,24
20,73	14,34
20,75	14,30
20,78	14,44
20,80	14,50
20,83	14,60
20,85	14,60
20,87	14,70
20,90	14,71
20,92	14,82
20,95	14,92
20,97	15,00
21,00	15,11
21,02	15,13
21,05	15,17
21,07	15,24
21,09	15,39
21,12	15,45
21,14	15,63
21,17	15,62
21,19	15,77
21,22	15,81
21,24	16,02
21,26	16,05
