Voltaje (V),D1 (cm),D2 (cm)
2.50,5.57,3.36
2.70,5.49,3.20
2.90,5.37,3.13
3.10,5.12,2.94
3.20,4.87,2.86
3.40,4.70,2.70
3.60,4.62,2.66
3.80,4.40,2.70
4.00,4.45,2.58
4.30,4.25,2.45
4.40,4.16,2.40
4.60,4.10,2.50
4.80,4.05,2.44
5.00,4.00,2.30
