,,,t,v
,,,-0.03892,0
,,,-0.03888,0
,,,-0.03884,0
,,,-0.0388,0
,,,-0.03876,0
,,,-0.03872,0
,,,-0.03868,0
,,,-0.03864,0
,,,-0.0386,0
,,,-0.03856,0
,,,-0.03852,0
,,,-0.03848,0
,,,-0.03844,0
,,,-0.0384,0
,,,-0.03836,0
,,,-0.03832,0
,,,-0.03828,0.2
,,,-0.03824,0
,,,-0.0382,0
,,,-0.03816,0
,,,-0.03812,0
,,,-0.03808,0
,,,-0.03804,0
,,,-0.038,0
,,,-0.03796,0
,,,-0.03792,0
,,,-0.03788,0
,,,-0.03784,0
,,,-0.0378,0
,,,-0.03776,0
,,,-0.03772,0
,,,-0.03768,0
,,,-0.03764,0
,,,-0.0376,0
,,,-0.03756,0
,,,-0.03752,0
,,,-0.03748,0
,,,-0.03744,0
,,,-0.0374,0
,,,-0.03736,0
,,,-0.03732,0
,,,-0.03728,0
,,,-0.03724,0
,,,-0.0372,0
,,,-0.03716,0.2
,,,-0.03712,0
,,,-0.03708,0
,,,-0.03704,0
,,,-0.037,0
,,,-0.03696,0
,,,-0.03692,0
,,,-0.03688,0
,,,-0.03684,0
,,,-0.0368,0
,,,-0.03676,0
,,,-0.03672,0
,,,-0.03668,0
,,,-0.03664,0
,,,-0.0366,0
,,,-0.03656,0
,,,-0.03652,0
,,,-0.03648,0
,,,-0.03644,0
,,,-0.0364,0.2
,,,-0.03636,0
,,,-0.03632,0.2
,,,-0.03628,0
,,,-0.03624,0
,,,-0.0362,0
,,,-0.03616,0.2
,,,-0.03612,0
,,,-0.03608,0
,,,-0.03604,0
,,,-0.036,0
,,,-0.03596,0
,,,-0.03592,0
,,,-0.03588,0
,,,-0.03584,0
,,,-0.0358,0
,,,-0.03576,0
,,,-0.03572,0
,,,-0.03568,0.2
,,,-0.03564,0
,,,-0.0356,0
,,,-0.03556,0
,,,-0.03552,0
,,,-0.03548,0
,,,-0.03544,0.2
,,,-0.0354,0
,,,-0.03536,0
,,,-0.03532,0
,,,-0.03528,0
,,,-0.03524,0
,,,-0.0352,0
,,,-0.03516,0
,,,-0.03512,0
,,,-0.03508,0
,,,-0.03504,0
,,,-0.035,0
,,,-0.03496,0
,,,-0.03492,0
,,,-0.03488,0
,,,-0.03484,0
,,,-0.0348,0
,,,-0.03476,0
,,,-0.03472,0.2
,,,-0.03468,0
,,,-0.03464,0
,,,-0.0346,0
,,,-0.03456,0
,,,-0.03452,0
,,,-0.03448,0
,,,-0.03444,0
,,,-0.0344,0
,,,-0.03436,0
,,,-0.03432,0
,,,-0.03428,0
,,,-0.03424,0
,,,-0.0342,0
,,,-0.03416,0
,,,-0.03412,0
,,,-0.03408,0
,,,-0.03404,0
,,,-0.034,0
,,,-0.03396,0
,,,-0.03392,0
,,,-0.03388,0
,,,-0.03384,0
,,,-0.0338,0
,,,-0.03376,0
,,,-0.03372,0
,,,-0.03368,0
,,,-0.03364,0
,,,-0.0336,0
,,,-0.03356,0
,,,-0.03352,0
,,,-0.03348,0
,,,-0.03344,0
,,,-0.0334,0
,,,-0.03336,0
,,,-0.03332,0
,,,-0.03328,0
,,,-0.03324,0
,,,-0.0332,0
,,,-0.03316,0
,,,-0.03312,0
,,,-0.03308,0
,,,-0.03304,0
,,,-0.033,0
,,,-0.03296,0
,,,-0.03292,0
,,,-0.03288,0
,,,-0.03284,0
,,,-0.0328,0.2
,,,-0.03276,0
,,,-0.03272,0
,,,-0.03268,0
,,,-0.03264,0
,,,-0.0326,0
,,,-0.03256,0
,,,-0.03252,0
,,,-0.03248,0
,,,-0.03244,0
,,,-0.0324,0
,,,-0.03236,0
,,,-0.03232,0
,,,-0.03228,0
,,,-0.03224,0
,,,-0.0322,0
,,,-0.03216,0
,,,-0.03212,0
,,,-0.03208,0
,,,-0.03204,0
,,,-0.032,0
,,,-0.03196,0
,,,-0.03192,0
,,,-0.03188,0
,,,-0.03184,0
,,,-0.0318,0
,,,-0.03176,0
,,,-0.03172,0
,,,-0.03168,0
,,,-0.03164,0
,,,-0.0316,0
,,,-0.03156,0
,,,-0.03152,0
,,,-0.03148,0
,,,-0.03144,0
,,,-0.0314,0.2
,,,-0.03136,0
,,,-0.03132,0
,,,-0.03128,0
,,,-0.03124,0
,,,-0.0312,0
,,,-0.03116,0
,,,-0.03112,0
,,,-0.03108,0
,,,-0.03104,0.2
,,,-0.031,0
,,,-0.03096,0
,,,-0.03092,0
,,,-0.03088,0
,,,-0.03084,0
,,,-0.0308,0
,,,-0.03076,0.2
,,,-0.03072,0.2
,,,-0.03068,0.2
,,,-0.03064,0
,,,-0.0306,0
,,,-0.03056,0
,,,-0.03052,0.2
,,,-0.03048,0
,,,-0.03044,0.2
,,,-0.0304,0.2
,,,-0.03036,0.2
,,,-0.03032,0.2
,,,-0.03028,0.2
,,,-0.03024,0.2
,,,-0.0302,0.2
,,,-0.03016,0.2
,,,-0.03012,0.2
,,,-0.03008,0.2
,,,-0.03004,0.2
,,,-0.03,0.2
,,,-0.02996,0.2
,,,-0.02992,0.2
,,,-0.02988,0.2
,,,-0.02984,0.2
,,,-0.0298,0.2
,,,-0.02976,0.2
,,,-0.02972,0.4
,,,-0.02968,0.4
,,,-0.02964,0.2
,,,-0.0296,0.2
,,,-0.02956,0.4
,,,-0.02952,0.4
,,,-0.02948,0.2
,,,-0.02944,0.2
,,,-0.0294,0.2
,,,-0.02936,0.2
,,,-0.02932,0.2
,,,-0.02928,0.2
,,,-0.02924,0.4
,,,-0.0292,0.4
,,,-0.02916,0.4
,,,-0.02912,0.4
,,,-0.02908,0.4
,,,-0.02904,0.4
,,,-0.029,0.4
,,,-0.02896,0.4
,,,-0.02892,0.4
,,,-0.02888,0.4
,,,-0.02884,0.4
,,,-0.0288,0.4
,,,-0.02876,0.4
,,,-0.02872,0.4
,,,-0.02868,0.4
,,,-0.02864,0.4
,,,-0.0286,0.4
,,,-0.02856,0.4
,,,-0.02852,0.4
,,,-0.02848,0.4
,,,-0.02844,0.4
,,,-0.0284,0.4
,,,-0.02836,0.4
,,,-0.02832,0.4
,,,-0.02828,0.6
,,,-0.02824,0.4
,,,-0.0282,0.4
,,,-0.02816,0.6
,,,-0.02812,0.4
,,,-0.02808,0.4
,,,-0.02804,0.6
,,,-0.028,0.6
,,,-0.02796,0.4
,,,-0.02792,0.6
,,,-0.02788,0.6
,,,-0.02784,0.6
,,,-0.0278,0.6
,,,-0.02776,0.6
,,,-0.02772,0.6
,,,-0.02768,0.6
,,,-0.02764,0.6
,,,-0.0276,0.6
,,,-0.02756,0.8
,,,-0.02752,0.6
,,,-0.02748,0.6
,,,-0.02744,0.6
,,,-0.0274,0.6
,,,-0.02736,0.6
,,,-0.02732,0.8
,,,-0.02728,0.8
,,,-0.02724,0.8
,,,-0.0272,0.8
,,,-0.02716,0.6
,,,-0.02712,0.8
,,,-0.02708,0.6
,,,-0.02704,0.8
,,,-0.027,0.8
,,,-0.02696,0.8
,,,-0.02692,0.8
,,,-0.02688,0.6
,,,-0.02684,0.8
,,,-0.0268,0.6
,,,-0.02676,0.8
,,,-0.02672,0.8
,,,-0.02668,0.8
,,,-0.02664,0.8
,,,-0.0266,0.8
,,,-0.02656,0.8
,,,-0.02652,0.8
,,,-0.02648,0.8
,,,-0.02644,0.8
,,,-0.0264,0.6
,,,-0.02636,0.8
,,,-0.02632,0.8
,,,-0.02628,0.8
,,,-0.02624,0.8
,,,-0.0262,0.8
,,,-0.02616,0.8
,,,-0.02612,0.8
,,,-0.02608,0.8
,,,-0.02604,0.8
,,,-0.026,0.8
,,,-0.02596,0.8
,,,-0.02592,0.8
,,,-0.02588,1
,,,-0.02584,1
,,,-0.0258,1
,,,-0.02576,0.8
,,,-0.02572,0.8
,,,-0.02568,0.8
,,,-0.02564,1
,,,-0.0256,1
,,,-0.02556,0.8
,,,-0.02552,1
,,,-0.02548,1
,,,-0.02544,1
,,,-0.0254,1
,,,-0.02536,1
,,,-0.02532,0.8
,,,-0.02528,1
,,,-0.02524,1
,,,-0.0252,0.8
,,,-0.02516,1
,,,-0.02512,1
,,,-0.02508,1
,,,-0.02504,1
,,,-0.025,1
,,,-0.02496,1
,,,-0.02492,1
,,,-0.02488,1
,,,-0.02484,1
,,,-0.0248,1
,,,-0.02476,1
,,,-0.02472,1
,,,-0.02468,1
,,,-0.02464,1
,,,-0.0246,1
,,,-0.02456,1
,,,-0.02452,1
,,,-0.02448,1
,,,-0.02444,1
,,,-0.0244,1
,,,-0.02436,1
,,,-0.02432,1.2
,,,-0.02428,1
,,,-0.02424,1.2
,,,-0.0242,1.2
,,,-0.02416,1.2
,,,-0.02412,1
,,,-0.02408,1.2
,,,-0.02404,1.2
,,,-0.024,1.2
,,,-0.02396,1.2
,,,-0.02392,1.2
,,,-0.02388,1.2
,,,-0.02384,1.2
,,,-0.0238,1.2
,,,-0.02376,1.2
,,,-0.02372,1.2
,,,-0.02368,1.2
,,,-0.02364,1.2
,,,-0.0236,1.2
,,,-0.02356,1.2
,,,-0.02352,1.4
,,,-0.02348,1.2
,,,-0.02344,1.4
,,,-0.0234,1.2
,,,-0.02336,1.4
,,,-0.02332,1.4
,,,-0.02328,1.4
,,,-0.02324,1.2
,,,-0.0232,1.4
,,,-0.02316,1.4
,,,-0.02312,1.4
,,,-0.02308,1.4
,,,-0.02304,1.4
,,,-0.023,1.4
,,,-0.02296,1.4
,,,-0.02292,1.4
,,,-0.02288,1.4
,,,-0.02284,1.4
,,,-0.0228,1.4
,,,-0.02276,1.2
,,,-0.02272,1.4
,,,-0.02268,1.4
,,,-0.02264,1.4
,,,-0.0226,1.4
,,,-0.02256,1.4
,,,-0.02252,1.4
,,,-0.02248,1.4
,,,-0.02244,1.4
,,,-0.0224,1.4
,,,-0.02236,1.4
,,,-0.02232,1.4
,,,-0.02228,1.6
,,,-0.02224,1.4
,,,-0.0222,1.4
,,,-0.02216,1.4
,,,-0.02212,1.6
,,,-0.02208,1.4
,,,-0.02204,1.4
,,,-0.022,1.6
,,,-0.02196,1.4
,,,-0.02192,1.6
,,,-0.02188,1.6
,,,-0.02184,1.6
,,,-0.0218,1.6
,,,-0.02176,1.6
,,,-0.02172,1.6
,,,-0.02168,1.6
