,,,t,v
Record Length,2500,,-0.05,0
Sample Interval,0.00004,,-0.04996,0
Trigger Point,1250,,-0.04992,0
,,,-0.04988,0.2
,,,-0.04984,0
,,,-0.0498,0
Source,CH2,,-0.04976,0
Vertical Units,V,,-0.04972,0
Vertical Scale,5,,-0.04968,0
Vertical Offset,-10,,-0.04964,0
Horizontal Units,s,,-0.0496,0.2
Horizontal Scale,0.01,,-0.04956,0
Pt Fmt,Y,,-0.04952,0.2
Yzero,0,,-0.04948,0.2
Probe Atten,1,,-0.04944,0
Model Number,TBS1102,,-0.0494,0.2
Serial Number,C012400,,-0.04936,0
Firmware Version,FV:v26.01,,-0.04932,0
,,,-0.04928,0.2
,,,-0.04924,0
,,,-0.0492,0
,,,-0.04916,0.2
,,,-0.04912,0.2
,,,-0.04908,0
,,,-0.04904,0.2
,,,-0.049,0
,,,-0.04896,0.2
,,,-0.04892,0.2
,,,-0.04888,0
,,,-0.04884,0.2
,,,-0.0488,0
,,,-0.04876,0.2
,,,-0.04872,0.2
,,,-0.04868,0.2
,,,-0.04864,0
,,,-0.0486,0.2
,,,-0.04856,0.2
,,,-0.04852,0.2
,,,-0.04848,0.2
,,,-0.04844,0.2
,,,-0.0484,0
,,,-0.04836,0.2
,,,-0.04832,0
,,,-0.04828,0.2
,,,-0.04824,0.2
,,,-0.0482,0.2
,,,-0.04816,0.2
,,,-0.04812,0.2
,,,-0.04808,0.2
,,,-0.04804,0.2
,,,-0.048,0
,,,-0.04796,0.2
,,,-0.04792,0.2
,,,-0.04788,0.2
,,,-0.04784,0.2
,,,-0.0478,0.2
,,,-0.04776,0.2
,,,-0.04772,0.2
,,,-0.04768,0.2
,,,-0.04764,0.2
,,,-0.0476,0.2
,,,-0.04756,0.2
,,,-0.04752,0.2
,,,-0.04748,0.2
,,,-0.04744,0.2
,,,-0.0474,0.2
,,,-0.04736,0.2
,,,-0.04732,0.2
,,,-0.04728,0.2
,,,-0.04724,0.2
,,,-0.0472,0.2
,,,-0.04716,0.2
,,,-0.04712,0.2
,,,-0.04708,0
,,,-0.04704,0.2
,,,-0.047,0.2
,,,-0.04696,0.2
,,,-0.04692,0.2
,,,-0.04688,0.2
,,,-0.04684,0.2
,,,-0.0468,0.2
,,,-0.04676,0.2
,,,-0.04672,0.2
,,,-0.04668,0.2
,,,-0.04664,0.2
,,,-0.0466,0.2
,,,-0.04656,0.2
,,,-0.04652,0.2
,,,-0.04648,0.2
,,,-0.04644,0.2
,,,-0.0464,0.2
,,,-0.04636,0.2
,,,-0.04632,0.2
,,,-0.04628,0.2
,,,-0.04624,0.2
,,,-0.0462,0.2
,,,-0.04616,0.2
,,,-0.04612,0.2
,,,-0.04608,0.2
,,,-0.04604,0.2
,,,-0.046,0.4
,,,-0.04596,0.2
,,,-0.04592,0.2
,,,-0.04588,0.2
,,,-0.04584,0.2
,,,-0.0458,0.2
,,,-0.04576,0.2
,,,-0.04572,0.2
,,,-0.04568,0.2
,,,-0.04564,0.2
,,,-0.0456,0.2
,,,-0.04556,0.2
,,,-0.04552,0.2
,,,-0.04548,0.2
,,,-0.04544,0.2
,,,-0.0454,0.2
,,,-0.04536,0.2
,,,-0.04532,0.2
,,,-0.04528,0
,,,-0.04524,0.2
,,,-0.0452,0.2
,,,-0.04516,0.2
,,,-0.04512,0.2
,,,-0.04508,0.2
,,,-0.04504,0.2
,,,-0.045,0.2
,,,-0.04496,0
,,,-0.04492,0
,,,-0.04488,0.2
,,,-0.04484,0
,,,-0.0448,0
,,,-0.04476,0.2
,,,-0.04472,0.2
,,,-0.04468,0.2
,,,-0.04464,0.2
,,,-0.0446,0.2
,,,-0.04456,0.2
,,,-0.04452,0.2
,,,-0.04448,0.2
,,,-0.04444,0.2
,,,-0.0444,0
,,,-0.04436,0.2
,,,-0.04432,0
,,,-0.04428,0.2
,,,-0.04424,0
,,,-0.0442,0.2
,,,-0.04416,0.2
,,,-0.04412,0
,,,-0.04408,0
,,,-0.04404,0
,,,-0.044,0.2
,,,-0.04396,0
,,,-0.04392,0
,,,-0.04388,0.2
,,,-0.04384,0
,,,-0.0438,0.2
,,,-0.04376,0.2
,,,-0.04372,0
,,,-0.04368,0
,,,-0.04364,0.2
,,,-0.0436,0
,,,-0.04356,0
,,,-0.04352,0
,,,-0.04348,0
,,,-0.04344,0.2
,,,-0.0434,0
,,,-0.04336,0
,,,-0.04332,0
,,,-0.04328,0.2
,,,-0.04324,0
,,,-0.0432,0
